Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
e-Cancer,Chrome 72.0.3626.121,To test e-Cancer functionalities,,2019-04-25 16:47:26,2019-04-25 16:47:41,14.928s,PASSED
,,,,,,,
Test Cases/00_Browser Navigation,Chrome 72.0.3626.121,To open the browser and naviage to the specific URL,,2019-04-25 16:47:26,2019-04-25 16:47:33,7.083s,PASSED
options = new org.openqa.selenium.chrome.ChromeOptions(),Chrome 72.0.3626.121,,,2019-04-25 16:47:27,2019-04-25 16:47:27,0.048s,PASSED
capabilities = new org.openqa.selenium.remote.DesiredCapabilities(),Chrome 72.0.3626.121,,,2019-04-25 16:47:27,2019-04-25 16:47:27,0.008s,PASSED
"capabilities.setCapability(CAPABILITY, options)",Chrome 72.0.3626.121,,,2019-04-25 16:47:27,2019-04-25 16:47:27,0.041s,PASSED
"System.setProperty(""webdriver.chrome.driver"", ""D:/Installer/Katalon Studio 6.1.2/chromedriver.exe"")",Chrome 72.0.3626.121,,,2019-04-25 16:47:27,2019-04-25 16:47:27,0.003s,PASSED
driver = new org.openqa.selenium.chrome.ChromeDriver(capabilities),Chrome 72.0.3626.121,,,2019-04-25 16:47:27,2019-04-25 16:47:31,3.586s,PASSED
changeWebDriver(driver),Chrome 72.0.3626.121,,,2019-04-25 16:47:31,2019-04-25 16:47:31,0.071s,PASSED
maximizeWindow(),Chrome 72.0.3626.121,,,2019-04-25 16:47:31,2019-04-25 16:47:31,0.474s,PASSED
"navigateToUrl(""https://uat.etiqa.com.my:4442/cancer-care/en/insurance/qq1"")",Chrome 72.0.3626.121,,,2019-04-25 16:47:31,2019-04-25 16:47:33,2.080s,PASSED
,,,,,,,
Test Cases/10_Underwriting Question - Question,Chrome 72.0.3626.121,,,2019-04-25 16:47:33,2019-04-25 16:47:40,6.301s,PASSED
"sendKeys(findTestObject(""e-Cancer/DOB""), ""01/01/1980"")",Chrome 72.0.3626.121,,,2019-04-25 16:47:34,2019-04-25 16:47:34,0.293s,PASSED
"click(findTestObject(""e-Cancer/Form Instruction""))",Chrome 72.0.3626.121,,,2019-04-25 16:47:34,2019-04-25 16:47:34,0.201s,PASSED
delay(5),Chrome 72.0.3626.121,,,2019-04-25 16:47:34,2019-04-25 16:47:39,5.039s,PASSED
"if (Gender == ""Male"")",Chrome 72.0.3626.121,,,2019-04-25 16:47:39,2019-04-25 16:47:40,0.287s,PASSED
"click(findTestObject(""e-Cancer/Gender - Female""))",Chrome 72.0.3626.121,,,2019-04-25 16:47:40,2019-04-25 16:47:40,0.168s,PASSED
